toxic_sentence	neutral_sentence	lang
son sus costumbres y hay que respetarlas..	Son tradiciones que merecen ser respetados	es
Mamona, tengan la mierda que tengan ellos, lo nuestro sigue siendo igual de lamentable	Tengan los que tengan ellos igual lo nuestro sigue lamentable	es
"Han quedado los últimos   ""Gran mayoría""  Además de facha, tonto."	"Han quedado los últimos   ""Gran mayoría"""	es
El dia que morais todos los fachas podre palmarla tranquilo ...	El día en que desaparezcan todos los extremistas, podré vivir en paz...	es
No he leído a una sola mujer quejarse de twitt solo a los de siempre....los machirulos fachas ...que asquito	No he leído a una sola mujer quejarse de twitt	es
Aquí Piatti que no metía un puto gol y en el Español, lleva ya unos cuantos, mamón. ☹️	Aquí Piatti que no metía un gol y en el Español, lleva ya unos cuantos	es
Ahora pides asilo político HDP, ahora las escorias oficialistas pidiendo asilo que tal.	Ahora pides asilo político HDP, ahora las oficialistas pidiendo asilo que tal.	es
Encima cacho parguela te pones de gilipollas con ella, subnormal	Encima te pones de maleducado con ella	es
Que alguien se lo impida, que todavía les quedan pensiones por pagar.	Que alguien intervenga para detenerlo, aúin tiene pnesiones pendientes por pagar	es
y el drama con el guiri de mierda de seamus en eurovision super living	Y el drama con el guiri  de seamus en eurovision super living	es
Cada vez, la situación del país está en la mierda la de mierdísima #FreddyGuevaraTeCAGASTE	Cada vez, la situación del país está en mala	es
Ghostt subnormal se nota a la legua que eres tú el ... — Mira como llora el puto bizco	Ghostt  se nota a la legua que eres tú el ... — Mira como llora	es
tu respuesta dice que no crees que el catalán tendría que ser de obligatorio entendimiento. Eres un puto…	Su respuesta afirma que no cree que el catalán deba ser una lengua obligatoria para ser comprendido.	es
Lo trataré con el trato maricon, penca, discriminatorio como trató a varios de mis compañeros 😒 VIEJO CULIAO.	Lo trataré  como trató a varios de mis compañeros	es
no podia esperar a llegar a tierra para ponerse manos a la. obra	No podía esperar a llegar a tierra para comenzar a trabajar.	es
En ESPAÑA tenemos un Gobierno PSOE-UP, asi que simplemente estamos DISFRUTANDO LO VOTADO.	En España, contamos con un Gobierno PSOE-UP, así que simplemente estamos experimentando las consecuencias de lo votado.	es
Hay gente dándose cuenta de que Hamilton es imbécil en pleno 2020.	Hay personas que entienden que Hamilton no es el mejor a mediados de 2020.	es
"Veo el tweet y digo ""mira un subnormal"" pero veo los reply y no, son unos cuantos más."	"Veo el tweet y digo ""mira un personaje"" pero veo los reply y no, son unos cuantos más."	es
No los vio el open arms	El Open Arms no los avistó.	es
Me gustaría saber lo que tú harías, si te llegará a pasar a ti. Eres el típico charlatán de feria.	Me gustaría saber qué harías si te sucediera a ti. A veces pareces muy persuasivo en tus argumentos.	es
Porque usted es un hombre de bien y con valores. Esos otros son alimañas y 0	Porque usted es un hombre de bien y con valores. Esos otros no lo son	es
Un Catalan a clasificado al Barça  Cabroooooonnn	Un Catalan a clasificado al Barça	es
Jajajajaja turco, subnormal, cuñado e español madremía.... PLENOOOO	Jajajajaja turco, cuñado e español madremía.... PLENOOOO	es
Lo mejor, es que ya lo tenemos aquí y tenemos que mantenerlo en la cárcel, gracias	Lo positivo es que ya lo tenemos aquí y debemos asegurarnos de mantenerlo en la cárcel, muchas gracias	es
- Porque se que es la única forma que me visiten todos los fines de semana, borrachos malparidos	- Porque se que es la única forma que me visiten todos los fines de semana.	es
Daniel has muerto o algo no te veo twittear como un subnormal	Daniel has muerto o algo no te veo twittear	es
Pinche gobierno de mierda, no ayudan pero como estorban HDSPM.	gobierno, no ayudan pero como estorban HDSPM.	es
Los gallegos viejos, en gran parte, son basura franquista.  Entre los jóvenes ya hay mucha más dignidad.	Los gallegos viejos en gran parte son franquistas entre jóvenes ya hay mucha más dignidad	es
Muchas veces en sus carceles sobornan a gente y viven como reyes.	En muchas ocasiones en sus cárceles sobornan a personas y viven con lujos.	es
Cómo estará el país para que ni los moros quieran estar	como estará el pais para que no quieran estar	es
Ah, porque se va y viene la hija puta. Están haciendo el subnormal apagando y encendiendo	Ah, porque esta hija va y viene. Hacen algo anormal, se apagan y se encienden.	es
Son los mismos miserables de siempre, porque sera que siempre votan negativo a este tipo de noticias.......	Siempre son los mismos individuos desagradables; ¿por qué será que siempre votan negativo en este tipo de noticias?	es
Una paguita para ese hombre, que se ve con ganas de integrarse y aceptar nuestras reglas/costumbres.	Sería apropiado proporcionar alguna ayuda económica a ese hombre, parece estar dispuesto a integrarse y aceptar nuestras reglas y costumbres.	es
Eso no lo sabemos, puede que vinieran de pequeños. Si es asi, expulsión.	No podemos estar seguros, podrían haber venido de pequeños. Si es el caso, considerar la expulsión.	es
#YoSoyAnonymousUE basta de absurda represión victimista por parte del Estado Fascista	#YoSoyAnonymousUE basta de absurda represión victimista por parte del Estado	es
Ahora tampoco respetaréis la democracia fascistas de mierda???	Ahora tampoco respetaréis la democracia????	es
Y los otros haciéndose los traumados cuando no dudarían en hacer eso mismo	Y los demás actuando como si estuvieran afectados, cuando en realidad no dudarían en hacer lo mismo	es
El homófobo #obispo de #Cordoba recomienda rezar más en vacaciones [y follar menos, claro].  vía	El  #obispo de #Cordoba recomienda rezar más en vacaciones .  vía	es
Supongo que Perro le dará asilo en la Moncloa 	Supongo que el presidente le dara asilo en la Moncloa	es
al guadalquivir primooo! Sigue insultando por internet, que eres un gitano falso.	Al guadalquivir primo sigue haciendo comentarios ofensivos por internet	es
Pero que mierda estas hablando subnormal de los cojones MAMAAAAAAAA GORDOOOOOOOO.	Pero que estás hablando	es
En España los invasores tienen más derechos que los españoles, pura mierda trae Ebrard y López.	En España tienen más derechos que los españoles, esto lo aportan Ebrard y López.	es
La historia reconocerá que fue el más pelele , inepto e hijo de puta presidente de la historia .	La historia reconocerá que fue el más inepto e hijo  presidente de la historia	es
lástima que sea un fascista, un machista, un subnormal y odie Catalunya	Es lamentable que esta persona sea partidaria del fascismo, el machismo y muestre un desprecio hacia Cataluña.	es
Tanto que hablan de Pinochet y los gringos y estos hijueputas son iguales o peores.	Tanto que hablan de Pinochet y los gringos y estos son iguales o peores.	es
Blocs y a otra cosa No le des publicidad al monguer	Blocs y a otra cosa No le des publicidad	es
Puto perroflautas que man rayao el mercedes	que man rayao el mercedes	es
Puta prensa deportiva saliendo en defensa de un puto ultraderechista	Prensa deportiva saliendo en defensa de un ultraderechista	es
Asumen tu género por tu apariencia física. Son unos fascistas transfobos y homófobos.	Asumen tu género por tu apariencia física.	es
... — putos rojos de mierda macho	estoy harto de los comunistas	es
Qué bien. Hay que ver con los ingenieros, doctores y demás cracks que nos llegan...	Es impresionante ver a los ingenieros, doctores y otros expertos que llegan a nuestro país.	es
La democracia española y la interpretación libre de sus leyes en manos de fascistas. 6D, nada que celebrar.	La democracia española y la libre interpretación de sus leyes en manos de dictadores. 6D, nada que celebrar.	es
Tu eres subnormal, no refinado, no confundas términos.	Tú no eres refinado no confundas términos	es
Sí, para que lo suelten a la media hora. Alguien que hace eso sólo aprende de una manera.	Sí, pero suelen liberarlo después de media hora. Alguien que recurre a eso solo aprende de una manera.	es
Lagarder ya era un puto subnormal, solo que hoy quiere que quede patente.	Lagarder ya era una mala persona, solo que hoy quiere que quede patente.	es
La patada JAJAJAJAJA MUERE SUBNORMAL  😂😂😂😂	La patada JAJAJAJAJA 😂😂😂😂	es
Venga silenciame ya verás tú cuánto me preocupo SUBNORMAL	Vengan a silenciarme ya verán cuánto me preocupo	es
Muy despreciados,siiii,pero todos vestidos de alta costura española o extranjera como la derechona burguesa verdad,…	todos vestidos de alta costura española o extranjera como la burguesa verdad,…	es
Son sus costumbres y hay que respetarlas	Cada grupo tiene sus propias tradiciones y es importante respetarlas	es
No busquéis más, ya tenemos al tonto del hilo.	No busqueis mas, aqui esta quien faltaba	es
Con el Zumo no se juega.	No se juega con el zumo.	es
No te acerques que me tiznas le dijo la sarten al cazo... 😂 Los más fascistas de la izquierda	No te acerques que me tiznas le dijo la sarten al cazo...	es
Pero pedazo de subnormal, prefieres a Charlotte antes que Lana.	Pero, prefieres a Charlotte antes que Lana.	es
Te lo llama hasta tu cuñado. Pero no sufras, ¿quién no tiene un mongolo en la familia?	te lo llama hasta tu cuñado. pero tranquilo, ¿quien no tiene a una persona de capacidades diferentes en la familia?	es
Pues un héroe el que se bebió el zumo, de no haberlo hecho este estaría vendiendo corbatas por los bares	Realmente fue un acto heróico de quien se bebió el zumo. De no haberlo hecho, es probable que esa persona estuviera vendiendo corbatas en los bares	es
Me acojona ver a la derecha rancia pidiendo #BoicotALosGoya Más incultura seguirá formando fascistas como ellos... ➕Cine ➖Toros #Españistán	Me asusta ver a la derecha pidiendo #BoicotALosGoya Más incultura seguirá formando gente de derechas como ellos... ➕Cine ➖Toros #Españistán	es
🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️  ASQUEROSO	🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️	es
te has equivocado de captura subnormal	te has equivocado de captura	es
Pero el calentamiento global son COSAS DE HIPPIES Y PERROFLAUTAS	Pero el calentamiento global son COSAS DE HIPPIES	es
Tú debes de ser un facha costalero del PPodrido.	Debes ser un comerciante costero.	es
La derechona sale a dar una vuelta por Barcelona.  vía	La derecha sale a dar una vuelta por Barcelona. Via	es
Que ganas de que metan al peluo en la carcel por subnormal😆😆😆	Espero que lo lleven a la cárcel por sus acciones inapropiadas.	es
Mejores Autopistas?, Ese mancito Gómez dónde vive?, Seguro es un sureñito Petrista 😕🤘	Mejores Autopistas?, Ese Gómez dónde vive?, Seguro es un sureñito Petrista 😕🤘	es
ya esta el subnormal de luis enrique jodiendome apuestas sin poner a suarez	ya esta luis enrique arruinandome apuestas sin poner a suarez	es
No a los politicos de mierda, nunca mas.	No a los politicos, nunca mas.	es
🚨🚨 Los okupas causan graves disturbios en Santiago y el alcalde 'podemita' les respalda ➡️  SON GENTUZA	Los okupas causan graves disturbios en santiago y el alcalde podemita les respalda	es
imagina y todo fue por entrar con una maleta en un museo. Putos nazis	imagina y todo fue por entrar con una maleta en un museo.	es
Expulsado #Guillermo Un mamarracho Herrera 💩	Expulsado #Guillermo	es
Llévenlos a prisión, y una vez paguen la condena enviarlos a su país por deportación.	Llévenlos a prisión y, después de cumplir la condena, procedan con su deportación a su país.	es
Otro españolazo fascista coaccionando al pueblo catalán secesionista.	Otro españolazo coaccionando al pueblo catalán secesionista.	es
¿Y este subnormal quién es?	Y este hombre extraño, ¿quién es?	es
En la puta casa del chaquetero de Aliaga los tendrían que poner	En la casa de Aliaga los tendrían que poner	es
Estas elecciones les van a venir de perlas a los fachas de VOX.	Estas elecciones les van a venir de perlas a los  de VOX.	es
Totalmente de acuerdo con la diputada, a esos cáfres asquerosos que no los vayan a dejar devolver a Bogotá.	Estoy totalmente de acuerdo con el diputado que no les permitirá regresar a Bogotá.	es
Seguro que era de pera-piña. Es el único por el que yo mataría.	Es posible que fuera de pera-piña. Es el único por el que haría algo así.	es
vete a un cajero mamon	vete a un cajero	es
"Le pega 16 tiros y le grita ""No te muevas"", menudo subnormal."	"Le dispara 16 veces y le grita ""No te muevas"", que individuo"	es
Ya empecé con la depresión de mierda	ya comencé con la depresión	es
cuidado con estos conspiradores de mierda	Cuidado con estas personas	es
Qué mierda esa zozobra previa a los recortes de personal.	Qué zozobra previa a los recortes de personal.	es
ya me han venido los 4 fachas de turno a tocarme los cojones	Ya me han venido las 4 de turno a molestarme	es
Quién es este subnormal y por qué ha soltado semejante subnormalez?	Quién es él y por qué ha soltado semejante palabra	es
Qué peste a culé esta pillando la afición madridista...	Qué peste esta pillando la afición madridista...	es
Pues si es así, que zorras que sois.	Bueno, si es así, ¿qué clase de gente eres.	es
Cuando alguien intenta manipular de manera tan burda lo que provoca es asco. Miratelo.	Cuando alguien intenta manipular de manera tan vil lo que provoca es pena.	es
No pasa nada, él es el mas preparado y el mas valiente que ya lo decia la abuela Carmena.	No hay problema, él es el más preparado y valiente, como lo afirmaba la abuela Carmena.	es
Con Mokus y Fajardo, hay estos políticos de mierda	Con Mockus y Fajardo hay estos políticos	es
Mano, puto subnormal, dos veces te lo he tenio que repetir	Mano, dos veces te lo he tenio que repetir	es
Árbitro de mierda, Conmebol de mierda.	Ni buen árbitro, ni buena Conmebol.	es
Es asombroso el nivel de estupidez-robotización del adoctrinamiento progre.	Resultado: Es sorprendente el nivel de robotización en el adoctrinamiento progresista.	es
es que no lo eres, es decir, qué más da ser hetero, el problema está en ser retrasado xd	es que no lo eres, es decir, qué más da ser hetero, el problema no entender las cosas	es
Los mas valientes. Haz que pase!	Los más valientes. Por favor, asegúrate de que avance	es
El gobierno de mierda, debería dejar de hablar hueás contra toda evidencia.	El gobierno, debería dejar de hablar hueás contra toda evidencia.	es
La jueza archiva la paliza de los trozos de mierda fascistas a Lagarder, porque la  no entregó la denuncia	La jueza archiva el problema de los fascistas a Lagarder porque no  entregó la denuncia	es
Y lo bien que les va siendo fachas, que no es gratis	Y lo bien que les va siendo conservadores, que no es gratis	es
Culpa de las mafias y lo progres follarefugees que hacen efecto llamada, nos quedamos sin 57 pensiones	Culpa de las mafias y lo progres que hacen efecto llamada, nos quedamos sin 57 pensiones	es
-Una directiva fracasa deportivamente -Unos monguers los votan para que sigan mandando -Los monguers se sorprenden d q fracasen #estapasando	Una directiva desilusiona deportivamente, unos monguers los votan para que sigan mandando, los monguers se sorprenden de que no sea un éxito #estapasando	es
en una cárcel española cuestan dinero, en su puta casa en Marruecos no cuestan ni un duro.	En una cárcel española, tienen un costo, pero en su casa en Marruecos, no suponen ningún gasto.	es
ufff eso es como construir puertas lógicas con legos; se puede, pero estás haciendo el imbécil.	ufff eso es como construir puertas lógicas con legos; se puede, pero estás haciendo algo qué no tiene sentido.	es
No, lo que parece de ese siglo es su puta bazofia de programa.	No, lo que parece de ese siglo es su asqueroso programa	es
Ni caso a los gilipollas como el  es un fascista de mierda	Ni caso a un tipo como él, es un extrema derecha	es
Pero que pedazo de retrasada	Pero qué tipo de persona.	es
Por cierto, donde anda metido el gusano comunista ese?	¿Adónde fue ese Comunista?	es
@ promosquevienen no se vayan de viaje de egresados con upgrade xq son la peor verga que hay:))	@ promosquevienen no se vayan de viaje de egresados con upgrade xq son la peor que hay:))	es
Y como siempre los nacotes sin educación diciendo groserías, son los que están en contra de este gran gobierno respetable.	Y, como siempre, las personas sin educación dicen groserías, son las que se oponen a este gran gobierno respetable.	es
Jajaja..  Que simpatico el charnego.. Te vamos a votar a ti membrillo.	Jajaja..  Que simpatico.. Te vamos a votar a ti	es
Está claro que el lobby proxeneta está bien organizado 👿👿	Está claro que su lobby está bien organizado 👿  👿	es
Conclusión: Er Benni era un cabrón facha que ayudó a Trum	Conclusión: Er Benny fue un tipo rudo que ayudó a Trump.	es
jaja ok andate con la zorra esa chau olvidate de mi :)	Jaja ok andate con ella chau olvidate de mi :)	es
PAMBISITOS dejen de responder a subnormales de mierda como éste.	PAMBISITOS dejen de responder a personas  como éste.	es
Tiene que ser fake, no me jodas. Jamás volverían a sus países.	Tiene que ser fake, no me hagas bromas. Jamás volverían a sus países.	es
a ti no catalán cabron jajaja! Esta champions es vuestra y del bayer xd	a ti no catalán jajaja! Esta champions es vuestra y del bayer xd	es
Que algunos saquéis la bilis contra mi 😍😍 jajajajaja , monguers y gordos ...	Que algunos saquéis la bilis contra mi 😍😍 jajajajaja	es
Le han dado por lo que habrá robado antes y por lo que robará cuando salga del hospital.	Recibió una lección por lo que robó y robará en un futuro	es
Ve na cuando habla Mazzoleni que puta	Ve na cuando habla Mazzoleni	es
Yo me quiero escapar también, dan paguita al llegar?	¿Ofrecen algún tipo de apoyo al llegar?	es
Pues súbete tu a repararlo, maricón	Pues súbete tu a repararlo	es
Habla en español catalán de mierda.	Habla español catalán	es
Y ahora me veo y parezco un Trump supporter. Putos nazis.	Y ahora me veo y sueno como un partidario de Trump.	es
Origen patológico , delincuencial , usurpante , ilegal resultado delicuncial usurpante y patológico	Origen patológico, ilegal resultado delicuncial usurpante y patológico	es
Soy bioquímico y estoy trabajando para el Gobierno de Navarra... ánimo, puto subnormal.	Soy bioquímico y estoy trabajando para el Gobierno de Navarra...	es
Menudos gilipollas. Como no, tenían que ser los guardaespaldas de la nazi de Le Pen...	Por supuesto, tenían que ser los guardaespaldas de Le Pen...	es
#VivaElCineEspañol porque me gusta y por patriotismo. A ver si os enteráis pedazo de fachas.	#VivaElCineEspañol porque me gusta y por patriotismo. A ver si os enteráis	es
Hacete cargo forro de mierda	Asumir la responsabilidad	es
Estos críos.... Qué pillastres..... Son unos terremotos los angelitos... Qué energía la de estos chicos... El futuro, son el futuro..... 	Estos niños son bastante traviesos, llenos de energía y travesuras. Representan el futuro con toda su vitalidad.	es
Esa fascista JAMAS sera presi de !😂😂😂	Una mala persona jamas sera presi de	es
Costumbres tercermundistas que disfrutamos ya en Europa gracias a nuestros políticos progres, disfruten lo votado.	Costumbre de países en desarrollo que ya disfrutamos en Europa, gracias a los políticos simpatizantes, disfruten el logro	es
Lo hipócritas que son algunos con el tema de ladder no tiene tamaño AJAJAJ Vaya hipócritas de mierda ;)	Lo hipócritas que son algunos con el tema de ladder no tiene tamaño AJAJAJ	es
Acojonante lo de la progresía, pagamos una barbaridad por alojar escoria mejor con unos servicios que ya quisieran nuestros mayores	Pagamos una barbaridad por alojar gente, mejor con unos servicios que ya quisieran nuestros mayores	es
"He puesto ""culo"" maemia, además de pequeño, mongolo. 😭"	He puesto  maemia, además de pequeño, mongolo. 😭	es
Me cuesta creer que haya alguien igual de subnormal que Dalas.	Me cuesta creer que haya alguien igual que Dalas.	es
Como para no votar a Vox. Hijos de puta 300.000 con la que se nos vien encima.	como para no votar a Vox. 300.000 con la que se nos viene encima	es
